"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 04, 2019","0.000097","0.000098","0.000101","0.000096","1.81M","-1.48%"
"Jan 03, 2019","0.000098","0.000099","0.000101","0.000096","1.34M","-1.16%"
"Jan 02, 2019","0.000100","0.000095","0.000100","0.000094","2.27M","4.98%"
"Jan 01, 2019","0.000095","0.000094","0.000096","0.000093","547.82K","0.72%"
"Dec 31, 2018","0.000094","0.000092","0.000096","0.000091","1.41M","1.83%"
"Dec 30, 2018","0.000092","0.000092","0.000093","0.000091","860.44K","0.00%"
"Dec 29, 2018","0.000092","0.000092","0.000093","0.000090","1.25M","0.00%"
"Dec 28, 2018","0.000092","0.000087","0.000093","0.000086","1.96M","6.70%"
"Dec 27, 2018","0.000087","0.000086","0.000088","0.000085","1.63M","0.58%"
"Dec 26, 2018","0.000086","0.000086","0.000089","0.000084","667.41K","0.00%"
"Dec 25, 2018","0.000086","0.000087","0.000087","0.000083","2.08M","-0.70%"
"Dec 24, 2018","0.000087","0.000091","0.000092","0.000086","2.37M","-3.97%"
"Dec 23, 2018","0.000091","0.000085","0.000094","0.000085","2.69M","6.02%"
"Dec 22, 2018","0.000085","0.000083","0.000087","0.000083","1.46M","2.63%"
"Dec 21, 2018","0.000083","0.000084","0.000086","0.000082","2.93M","-0.66%"
"Dec 20, 2018","0.000084","0.000074","0.000085","0.000074","6.01M","12.64%"
"Dec 19, 2018","0.000074","0.000078","0.000080","0.000074","5.47M","-4.84%"
"Dec 18, 2018","0.000078","0.000072","0.000078","0.000071","3.00M","8.89%"
"Dec 17, 2018","0.000072","0.000068","0.000073","0.000068","4.05M","5.04%"
"Dec 16, 2018","0.000068","0.000068","0.000070","0.000068","1.10M","0.93%"
"Dec 15, 2018","0.000068","0.000066","0.000069","0.000065","2.63M","3.01%"
"Dec 14, 2018","0.000066","0.000066","0.000066","0.000064","1.53M","0.00%"
"Dec 13, 2018","0.000066","0.000066","0.000067","0.000065","1.10M","0.00%"
"Dec 12, 2018","0.000066","0.000066","0.000067","0.000065","701.61K","1.11%"
"Dec 11, 2018","0.000066","0.000066","0.000067","0.000065","1.36M","-1.03%"
"Dec 10, 2018","0.000066","0.000065","0.000067","0.000065","1.12M","1.21%"
"Dec 09, 2018","0.000065","0.000065","0.000067","0.000065","1.63M","0.00%"
"Dec 08, 2018","0.000065","0.000068","0.000069","0.000064","1.90M","-4.36%"
"Dec 07, 2018","0.000068","0.000065","0.000070","0.000061","5.08M","4.04%"
"Dec 06, 2018","0.000065","0.000068","0.000069","0.000064","2.42M","-3.62%"
"Dec 05, 2018","0.000068","0.000070","0.000070","0.000067","2.34M","-2.65%"
"Dec 04, 2018","0.000070","0.000070","0.000071","0.000069","1.53M","0.00%"
"Dec 03, 2018","0.000070","0.000070","0.000071","0.000068","3.14M","-0.91%"
"Dec 02, 2018","0.000070","0.000070","0.000072","0.000070","1.33M","0.00%"
"Dec 01, 2018","0.000070","0.000071","0.000071","0.000070","906.97K","-0.93%"
"Nov 30, 2018","0.000071","0.000072","0.000072","0.000069","1.89M","0.00%"
"Nov 29, 2018","0.000071","0.000070","0.000072","0.000069","2.13M","1.74%"
"Nov 28, 2018","0.000070","0.000070","0.000074","0.000069","4.17M","0.00%"
"Nov 27, 2018","0.000070","0.000072","0.000072","0.000069","2.26M","-1.76%"
"Nov 26, 2018","0.000072","0.000071","0.000072","0.000068","2.60M","0.00%"
"Nov 25, 2018","0.000071","0.000072","0.000073","0.000068","3.49M","-0.88%"
"Nov 24, 2018","0.000072","0.000073","0.000074","0.000069","3.18M","-0.96%"
"Nov 23, 2018","0.000073","0.000070","0.000074","0.000069","1.87M","3.42%"
"Nov 22, 2018","0.000070","0.000071","0.000072","0.000070","1.15M","-1.65%"
"Nov 21, 2018","0.000071","0.000067","0.000073","0.000067","2.50M","7.08%"
"Nov 20, 2018","0.000067","0.000072","0.000073","0.000064","6.81M","-7.81%"
"Nov 19, 2018","0.000072","0.000073","0.000073","0.000068","4.06M","-0.74%"
"Nov 18, 2018","0.000073","0.000073","0.000074","0.000073","614.52K","0.00%"
"Nov 17, 2018","0.000073","0.000073","0.000075","0.000072","576.54K","0.00%"
"Nov 16, 2018","0.000073","0.000074","0.000075","0.000073","778.74K","-1.01%"
"Nov 15, 2018","0.000074","0.000075","0.000075","0.000070","4.84M","0.00%"
"Nov 14, 2018","0.000075","0.000077","0.000078","0.000058","6.47M","-3.75%"
"Nov 13, 2018","0.000078","0.000078","0.000079","0.000076","1.44M","0.00%"
"Nov 12, 2018","0.000078","0.000076","0.000079","0.000075","1.66M","2.79%"
